Mst. ID,Messstellen Name,Jahr,Bundesland,Flussgebiet,Seehöhe
112292,Leutschach,2017,Steiermark,Murgebiet,370
115980,Lichtenau,2017,Niederösterreich,Donaugebiet zwischen Enns und March,666
115998,Lichtenegg,2017,Niederösterreich,Rabnitzgebiet,841
106831,Liebenau,2017,Oberösterreich,Donaugebiet zwischen Enns und March,953
105015,Lienz-Tristach,2017,Tirol,Draugebiet,666
113092,Lienz,2017,Tirol,Draugebiet,659
119859,Lienzer Hütte,2017,Tirol,Draugebiet,1980
115014,Lienzer-Dolomiten-Hütte,2017,Tirol,Draugebiet,1585
111807,Kraubath an der Mur,2017,Steiermark,Murgebiet,586
103499,Krefelder Hütte,2017,Salzburg,Salzachgebiet,2295
107441,Krems an der Donau,2017,Niederösterreich,Donaugebiet zwischen Enns und March,203
105551,Kremsmünster,2017,Oberösterreich,Traungebiet,383
112748,Kreuzberg,2017,Steiermark,Murgebiet,590
111328,Kreuzwirt,2017,Steiermark,Raabgebiet,1038
110122,Krimml,2017,Salzburg,Salzachgebiet,1000
105783,Krippenstein,2017,Oberösterreich,Traungebiet,2050
119867,Kristeiner Tal-Paintner Alm,2017,Tirol,Draugebiet,1842
107631,Kronsegg,2017,Niederösterreich,Donaugebiet zwischen Enns und March,485
110676,Krumbach,2017,Niederösterreich,Raabgebiet,595
102814,Kufstein,2017,Tirol,Inngebiet oberhalb der Salzach,493
111203,Kukmirn,2017,Burgenland,Raabgebiet,252
119537,Köglalm,2017,Tirol,Donaugebiet oberhalb des Inn,1487
121038,Körbersee,2017,Vorarlberg,Rheingebiet,1676
104687,Neuhaus an der Donau,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,450
112573,Neuhof,2017,Steiermark,Murgebiet,770
105569,Neuhofen an der Krems,2017,Oberösterreich,Traungebiet,326
116079,Neuhofen an der Ybbs,2017,Niederösterreich,Donaugebiet zwischen Enns und March,322
104059,Neukirchen,2017,Salzburg,Salzachgebiet,830
104737,Neukirchen am Walde,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,555
104307,Neukirchen an der Enknach,2017,Oberösterreich,Inngebiet unterhalb der Salzach,404
110908,Neumarkt an der Raab,2017,Burgenland,Raabgebiet,243
104703,Neumarkt im Hausruck,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,398
105627,Neumarkt im Mühlkreis,2017,Oberösterreich,Donaugebiet zwischen Traun und Enns,611
114017,Neumarkt in Steiermark,2017,Steiermark,Draugebiet,872
109918,Neunkirchen,2017,Niederösterreich,Leithagebiet,361
110510,Neusiedl am See,2017,Burgenland,Rabnitzgebiet,117
116087,Neustadtl,2017,Niederösterreich,Donaugebiet zwischen Enns und March,486
110395,Neustift an der Rosalia,2017,Burgenland,Rabnitzgebiet,597
103101,Neustift i. St.-Volderau,2017,Tirol,Inngebiet oberhalb der Salzach,1130
104968,Neustift im Mühlkreis,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,597
101634,Neustift im Stubaital,2017,Tirol,Inngebiet oberhalb der Salzach,993
104950,Neußerling,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,615
116442,Nexing,2017,Niederösterreich,Marchgebiet,201
110080,Nickelsdorf,2017,Burgenland,Leithagebiet,130
112607,Niederalpl,2017,Steiermark,Murgebiet,930
116392,Niederhollabrunn,2017,Niederösterreich,Donaugebiet zwischen Enns und March,229
103176,Niederndorferberg,2017,Tirol,Inngebiet oberhalb der Salzach,980
103002,Niederthai,2017,Tirol,Inngebiet oberhalb der Salzach,1564
110627,Nikitsch,2017,Burgenland,Rabnitzgebiet,222
114942,Nikolsdorf,2017,Tirol,Draugebiet,650
114033,Noreia,2017,Steiermark,Draugebiet,1060
104000,Nußdorf,2017,Salzburg,Salzachgebiet,460
111773,Obdach,2017,Steiermark,Murgebiet,875
119107,Oberbirg-s'Gliger,2017,Tirol,Inngebiet oberhalb der Salzach,2160
111187,Oberdorf im Burgenland,2017,Burgenland,Raabgebiet,361
113118,Oberdrauburg,2017,Kärnten,Draugebiet,620
113183,Oberes Fleißkees,2017,Kärnten,Draugebiet,2808
102210,Obergurgl,2017,Tirol,Inngebiet oberhalb der Salzach,1940
121020,Obergüntenstallalpe,2017,Vorarlberg,Rheingebiet,1604
104547,Oberkappel,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,495
102350,Obernberg am Brenner,2017,Tirol,Inngebiet oberhalb der Salzach,1360
108928,Oberndorf an der Melk,2017,Niederösterreich,Donaugebiet zwischen Enns und March,295
104018,Oberndorf,2017,Salzburg,Salzachgebiet,430
110379,Oberpullendorf,2017,Burgenland,Rabnitzgebiet,233
116111,Oberrußbach,2017,Niederösterreich,Donaugebiet zwischen Enns und March,277
109595,Obersiebenbrunn,2017,Niederösterreich,Marchgebiet,150
118752,Obertauern,2017,Salzburg,Ennsgebiet,1772
113589,Obertilliach,2017,Tirol,Draugebiet,1400
105148,Obertraun,2017,Oberösterreich,Traungebiet,513
100057,Obervermunt,2017,Vorarlberg,Rheingebiet,1980
105700,Oberwang,2017,Oberösterreich,Traungebiet,595
